order_id,order_timestamp,restaurant_name,order_value,delivery_time_mins,distance_km,is_on_time
ORD-1001,2026-08-01 11:15:00,Burger Club,24.50,22,3.1,1
ORD-1002,2026-08-01 11:45:00,Pizza Palace,38.20,28,4.2,1
ORD-1003,2026-08-01 12:05:00,Taco Spot,12.80,15,1.5,1
ORD-1004,2026-08-01 12:20:00,Sushi House,64.00,35,5.8,0
ORD-1005,2026-08-01 12:35:00,Burger Club,18.90,19,2.0,1
ORD-1006,2026-08-01 13:10:00,Pizza Palace,42.50,25,3.8,1
ORD-1007,2026-08-01 13:30:00,Wok Express,29.40,31,4.5,0
ORD-1008,2026-08-01 14:05:00,Taco Spot,9.50,12,0.8,1
ORD-1009,2026-08-01 17:15:00,Sushi House,85.50,42,7.2,0
ORD-1010,2026-08-01 18:00:00,Burger Club,31.20,26,3.5,1
ORD-1011,2026-08-01 18:20:00,Pizza Palace,54.00,32,5.0,0
ORD-1012,2026-08-01 18:40:00,Wok Express,22.00,20,2.5,1
ORD-1013,2026-08-01 19:00:00,Sushi House,105.00,48,8.5,0
ORD-1014,2026-08-01 19:15:00,Burger Club,27.80,24,3.0,1
ORD-1015,2026-08-01 19:30:00,Pizza Palace,45.00,29,4.0,1
ORD-1016,2026-08-01 20:00:00,Taco Spot,18.50,17,1.8,1
ORD-1017,2026-08-01 20:30:00,Wok Express,35.60,34,5.2,0
ORD-1018,2026-08-01 21:15:00,Burger Club,41.00,30,4.8,1
ORD-1019,2026-08-01 22:00:00,Pizza Palace,28.40,21,2.9,1
ORD-1020,2026-08-02 11:30:00,Wok Express,19.50,18,2.2,1
ORD-1021,2026-08-02 12:00:00,Taco Spot,15.20,14,1.2,1
ORD-1022,2026-08-02 12:15:00,Burger Club,23.40,23,2.8,1
ORD-1023,2026-08-02 12:45:00,Pizza Palace,49.90,33,5.1,0
ORD-1024,2026-08-02 13:00:00,Sushi House,72.00,38,6.2,0
ORD-1025,2026-08-02 13:20:00,Wok Express,26.50,22,3.0,1
ORD-1026,2026-08-02 14:10:00,Taco Spot,11.00,10,0.6,1
ORD-1027,2026-08-02 17:30:00,Burger Club,35.80,28,4.0,1
ORD-1028,2026-08-02 18:15:00,Sushi House,92.00,45,7.8,0
ORD-1029,2026-08-02 18:30:00,Pizza Palace,58.50,30,4.7,1
ORD-1030,2026-08-02 18:45:00,Wok Express,31.00,27,3.6,1
ORD-1031,2026-08-02 19:10:00,Taco Spot,22.40,18,2.1,1
ORD-1032,2026-08-02 19:30:00,Burger Club,26.00,25,3.2,1
ORD-1033,2026-08-02 20:00:00,Pizza Palace,41.20,26,3.9,1
ORD-1034,2026-08-02 20:20:00,Sushi House,115.00,52,9.1,0
ORD-1035,2026-08-02 20:45:00,Wok Express,28.90,29,3.8,1
ORD-1036,2026-08-02 21:10:00,Taco Spot,14.80,16,1.4,1
ORD-1037,2026-08-02 21:40:00,Burger Club,45.50,35,5.5,0
ORD-1038,2026-08-02 22:15:00,Pizza Palace,32.00,22,3.3,1
ORD-1039,2026-08-03 11:00:00,Taco Spot,10.50,11,0.9,1
ORD-1040,2026-08-03 11:30:00,Wok Express,24.80,21,2.7,1
ORD-1041,2026-08-03 12:00:00,Burger Club,29.00,24,3.3,1
ORD-1042,2026-08-03 12:20:00,Pizza Palace,36.50,27,3.5,1
ORD-1043,2026-08-03 12:45:00,Sushi House,58.00,32,5.0,0
ORD-1044,2026-08-03 13:15:00,Taco Spot,16.00,15,1.7,1
ORD-1045,2026-08-03 13:45:00,Wok Express,33.20,30,4.4,1
ORD-1046,2026-08-03 17:40:00,Burger Club,40.20,29,4.1,1
ORD-1047,2026-08-03 18:05:00,Sushi House,88.00,41,6.9,0
ORD-1048,2026-08-03 18:20:00,Pizza Palace,62.00,34,5.4,0
ORD-1049,2026-08-03 18:45:00,Wok Express,27.50,25,3.3,1
ORD-1050,2026-08-03 19:00:00,Taco Spot,19.80,16,2.0,1
ORD-1051,2026-08-03 19:25:00,Burger Club,22.50,21,2.4,1
ORD-1052,2026-08-03 19:45:00,Pizza Palace,48.00,28,4.1,1
ORD-1053,2026-08-03 20:10:00,Sushi House,120.00,55,9.5,0
ORD-1054,2026-08-03 20:30:00,Wok Express,38.40,36,5.5,0
ORD-1055,2026-08-03 21:00:00,Taco Spot,13.50,13,1.1,1
ORD-1056,2026-08-03 21:30:00,Burger Club,37.00,27,3.9,1
ORD-1057,2026-08-03 22:00:00,Pizza Palace,29.90,20,2.6,1
ORD-1058,2026-08-03 22:30:00,Sushi House,65.00,33,5.2,0
ORD-1059,2026-08-03 23:00:00,Wok Express,21.50,19,2.3,1
ORD-1060,2026-08-03 23:30:00,Taco Spot,11.20,12,0.7,1
