order_id,order_timestamp,restaurant_name,order_value,delivery_time_mins,distance_km,is_on_time
ORD-1001,2026-08-04 08:40,Pizza Palace,33.4,16,11.9,1
ORD-1002,2026-08-03 06:36,Pizza Palace,46.47,31,10.7,0
ORD-1003,2026-08-03 04:13,Sushi Hub,70.39,19,8.6,1
ORD-1004,2026-08-01 08:51,Curry House,23.84,55,4.2,0
ORD-1005,2026-08-04 03:58,BBQ Nation,66.86,26,9,1
ORD-1006,2026-08-06 01:18,Burger Club,35.88,12,5.6,1
ORD-1007,2026-08-05 23:57,Sushi Hub,49.62,25,9,1
ORD-1008,2026-08-05 14:35,Pasta Point,78.92,51,1.8,0
ORD-1009,2026-08-01 19:40,Burger Club,23,20,1.3,1
ORD-1010,2026-08-05 06:32,Sushi Hub,53.4,54,11.4,0
ORD-1011,2026-08-03 17:03,BBQ Nation,49.38,28,12.7,1
ORD-1012,2026-08-04 16:21,Wrap World,8.88,40,6.7,0
ORD-1013,2026-08-04 23:22,Wrap World,12.93,16,7.8,1
ORD-1014,2026-08-01 09:18,Sushi Hub,55.04,52,1.8,0
ORD-1015,2026-08-01 21:40,Burger Club,70.72,33,7.4,0
ORD-1016,2026-08-04 08:09,Burger Club,55.26,15,13.9,1
ORD-1017,2026-08-05 17:09,Wrap World,22.85,53,11.6,0
ORD-1018,2026-08-04 21:10,Taco Town,16.72,24,4.4,1
ORD-1019,2026-08-01 23:03,Burger Club,33.69,24,11.2,1
ORD-1020,2026-08-04 17:03,Taco Town,79.32,42,14.5,0
ORD-1021,2026-08-03 06:44,Taco Town,7.19,39,12.2,0
ORD-1022,2026-08-05 23:28,Wrap World,33.69,37,0.8,0
ORD-1023,2026-08-05 23:01,Curry House,63.31,41,1.4,0
ORD-1024,2026-08-02 09:33,Taco Town,10.81,12,13.3,1
ORD-1025,2026-08-01 13:51,Curry House,54.9,43,14.8,0
ORD-1026,2026-08-03 04:47,Curry House,29.57,11,13.7,1
ORD-1027,2026-08-06 02:16,Taco Town,50.59,38,14.7,0
ORD-1028,2026-08-05 09:46,Burger Club,19.09,25,13.2,1
ORD-1029,2026-08-03 16:45,Pizza Palace,70.39,23,8.3,1
ORD-1030,2026-08-03 13:11,Curry House,47.4,24,11,1
ORD-1031,2026-08-03 20:53,Pasta Point,59.54,35,3.4,0
ORD-1032,2026-08-02 19:28,BBQ Nation,79.4,43,14.5,0
ORD-1033,2026-08-05 02:20,Wrap World,5.26,22,2.4,1
ORD-1034,2026-08-05 23:29,Pizza Palace,58.63,20,4,1
ORD-1035,2026-08-05 05:54,Sushi Hub,44.34,14,5.8,1
ORD-1036,2026-08-02 09:44,Burger Club,29,49,12.1,0
ORD-1037,2026-08-02 12:39,Pasta Point,75.73,51,2.4,0
ORD-1038,2026-08-05 23:03,Taco Town,79.06,34,12.4,0
ORD-1039,2026-08-02 08:30,Burger Club,59.16,60,2.3,0
ORD-1040,2026-08-02 19:18,Wrap World,21.35,29,3.8,1
ORD-1041,2026-08-05 21:50,Sushi Hub,51.96,43,7.9,0
ORD-1042,2026-08-05 04:22,Taco Town,27.99,27,11.1,1
ORD-1043,2026-08-03 20:35,Taco Town,38.23,54,2.7,0
ORD-1044,2026-08-01 18:23,Wrap World,35.33,13,7.3,1
ORD-1045,2026-08-01 20:43,Curry House,40.45,17,6.9,1
ORD-1046,2026-08-06 00:23,Wrap World,64.44,19,8.9,1
ORD-1047,2026-08-05 15:32,Sushi Hub,46.03,27,8.4,1
ORD-1048,2026-08-02 12:44,Sushi Hub,57.47,38,13.4,0
ORD-1049,2026-08-02 11:36,Burger Club,50.71,27,4.7,1
ORD-1050,2026-08-02 10:47,Pasta Point,53.52,19,7.7,1
ORD-1051,2026-08-05 17:41,Taco Town,51.28,28,12.6,1
ORD-1052,2026-08-04 09:43,Taco Town,43.86,13,12.2,1
ORD-1053,2026-08-05 12:37,Burger Club,52.4,28,9.9,1
ORD-1054,2026-08-03 09:01,Burger Club,49.6,28,8.7,1
ORD-1055,2026-08-03 21:32,Wrap World,55.43,51,13,0
ORD-1056,2026-08-04 04:37,Curry House,55.82,28,5.8,1
ORD-1057,2026-08-05 16:35,Wrap World,16.17,47,5.6,0
ORD-1058,2026-08-03 17:13,Taco Town,24.59,36,9,0
ORD-1059,2026-08-01 20:01,Curry House,69.97,11,3.5,1
ORD-1060,2026-08-05 22:06,Sushi Hub,6.5,33,9.2,0
ORD-1061,2026-08-01 21:45,Burger Club,71.87,57,11.4,0
ORD-1062,2026-08-04 14:06,Pasta Point,63.52,52,7.9,0
ORD-1063,2026-08-04 10:59,Curry House,61.83,37,13.3,0
ORD-1064,2026-08-06 05:19,Burger Club,19.91,49,2.5,0
ORD-1065,2026-08-01 08:01,BBQ Nation,55.12,51,8.4,0
ORD-1066,2026-08-02 01:21,BBQ Nation,76.82,12,0.9,1
ORD-1067,2026-08-02 11:54,Taco Town,8.56,49,7,0
ORD-1068,2026-08-03 09:35,Sushi Hub,78.97,56,14.1,0
ORD-1069,2026-08-06 00:54,BBQ Nation,54.38,40,1.1,0
ORD-1070,2026-08-01 09:45,Pizza Palace,50.96,45,8.6,0
ORD-1071,2026-08-02 12:46,Pizza Palace,60.62,18,3.5,1
ORD-1072,2026-08-01 20:42,Wrap World,77.91,40,11.8,0
ORD-1073,2026-08-04 03:34,Burger Club,22.64,59,7.1,0
ORD-1074,2026-08-05 17:38,Burger Club,53.56,36,1.8,0
ORD-1075,2026-08-05 23:05,Pasta Point,60.67,29,10.6,1
ORD-1076,2026-08-01 21:51,Pasta Point,55.93,35,10.1,0
ORD-1077,2026-08-03 09:45,Wrap World,42.8,34,5,0
ORD-1078,2026-08-01 23:06,Wrap World,44.61,53,1.1,0
ORD-1079,2026-08-05 15:00,Burger Club,10.73,24,7,1
ORD-1080,2026-08-02 13:02,BBQ Nation,67.6,19,9.4,1
ORD-1081,2026-08-05 12:24,Pasta Point,13.35,59,10.4,0
ORD-1082,2026-08-05 06:24,Sushi Hub,17.18,30,4.8,1
ORD-1083,2026-08-03 09:34,Pizza Palace,33.64,21,3.5,1
ORD-1084,2026-08-01 19:23,Pasta Point,23.68,29,13.2,1
ORD-1085,2026-08-02 18:47,Burger Club,69.84,51,11.1,0
ORD-1086,2026-08-03 06:12,Burger Club,58.67,58,12.2,0
ORD-1087,2026-08-04 11:30,Sushi Hub,75.24,24,13.6,1
ORD-1088,2026-08-03 12:11,Curry House,8.9,58,4.5,0
ORD-1089,2026-08-02 18:13,Wrap World,72.91,56,6.3,0
ORD-1090,2026-08-01 09:49,Curry House,31.79,43,6.2,0
ORD-1091,2026-08-04 10:12,Curry House,57.86,29,10.9,1
ORD-1092,2026-08-02 11:34,Curry House,77.28,57,13.9,0
ORD-1093,2026-08-03 04:08,Burger Club,75.74,46,6.2,0
ORD-1094,2026-08-03 20:38,Taco Town,44.25,42,11.6,0
ORD-1095,2026-08-02 23:45,Burger Club,18.26,40,4,0
ORD-1096,2026-08-04 17:21,Wrap World,79.01,60,2.1,0
ORD-1097,2026-08-04 11:37,Wrap World,13.26,19,3.5,1
ORD-1098,2026-08-05 22:56,Wrap World,9.41,27,11.4,1
ORD-1099,2026-08-04 23:25,Pasta Point,27.81,26,4.6,1
ORD-1100,2026-08-05 15:17,Curry House,79.59,23,7.3,1
ORD-1101,2026-08-02 13:50,Taco Town,64.68,23,4.8,1
ORD-1102,2026-08-02 02:47,Burger Club,79.97,43,7.5,0
ORD-1103,2026-08-03 09:25,Burger Club,58.26,13,12.2,1
ORD-1104,2026-08-05 04:31,Curry House,78.68,47,5,0
ORD-1105,2026-08-03 01:15,Taco Town,18.88,51,7.3,0
ORD-1106,2026-08-02 05:13,Wrap World,14.46,29,1,1
ORD-1107,2026-08-03 07:49,Burger Club,17.65,51,7.3,0
ORD-1108,2026-08-02 03:17,Pasta Point,31.63,45,11.8,0
ORD-1109,2026-08-03 18:43,Pizza Palace,76.9,60,9.1,0
ORD-1110,2026-08-04 00:50,Burger Club,43.45,12,11.8,1
ORD-1111,2026-08-02 14:33,Pasta Point,8.64,43,6.4,0
ORD-1112,2026-08-05 03:11,Sushi Hub,67.35,26,7.5,1
ORD-1113,2026-08-02 04:55,Pizza Palace,26.44,16,5.8,1
ORD-1114,2026-08-03 21:52,Pasta Point,49.69,41,13.4,0
ORD-1115,2026-08-05 05:12,Pasta Point,79.51,40,12.7,0
ORD-1116,2026-08-03 19:10,Taco Town,28.66,30,3.4,1
ORD-1117,2026-08-05 13:42,Pasta Point,75.79,30,12.4,1
ORD-1118,2026-08-04 20:43,Burger Club,30.43,23,5.7,1
ORD-1119,2026-08-03 12:41,Wrap World,10.43,13,13.7,1
ORD-1120,2026-08-04 03:12,Burger Club,77.89,48,8.4,0
ORD-1121,2026-08-01 18:14,Burger Club,26.74,23,2.7,1
ORD-1122,2026-08-05 02:26,Curry House,45.8,14,5.2,1
ORD-1123,2026-08-04 11:51,Pizza Palace,19.12,60,13.9,0
ORD-1124,2026-08-05 03:24,BBQ Nation,49.1,50,10.6,0
ORD-1125,2026-08-03 09:58,Wrap World,20.92,49,7.9,0
ORD-1126,2026-08-03 23:15,Wrap World,20.16,49,12.7,0
ORD-1127,2026-08-01 13:05,Pizza Palace,45.7,13,3.3,1
ORD-1128,2026-08-04 01:44,Burger Club,39.97,57,13.8,0
ORD-1129,2026-08-03 17:35,Pasta Point,10.99,13,13.3,1
ORD-1130,2026-08-06 07:11,Sushi Hub,61.85,35,2.2,0
ORD-1131,2026-08-02 16:56,Burger Club,69.48,26,2.6,1
ORD-1132,2026-08-02 20:09,Sushi Hub,44.94,10,11.8,1
ORD-1133,2026-08-01 09:55,Wrap World,69.93,28,8,1
ORD-1134,2026-08-02 17:05,Burger Club,64.02,19,0.6,1
ORD-1135,2026-08-05 18:01,Curry House,21.2,60,5.7,0
ORD-1136,2026-08-02 10:25,Curry House,48.43,39,8.9,0
ORD-1137,2026-08-02 17:59,Sushi Hub,43.27,55,13.5,0
ORD-1138,2026-08-02 11:09,Pizza Palace,10.34,56,12.8,0
ORD-1139,2026-08-04 08:46,Wrap World,75.31,20,8.7,1
ORD-1140,2026-08-05 16:57,BBQ Nation,36.13,60,1.7,0
ORD-1141,2026-08-04 07:28,BBQ Nation,76.28,25,8.7,1
ORD-1142,2026-08-02 19:20,Sushi Hub,39.49,60,1.9,0
ORD-1143,2026-08-05 07:16,Pasta Point,14.15,57,12.8,0
ORD-1144,2026-08-02 01:31,Taco Town,31.25,37,4.3,0
